"provider_id","date","country","tracking_ecommerce_source","device","exits","revenue_local_currency","revenue_euro"
"11041","2021-02-25","LT","yes","desktop","5405","546.76924639","545.802"
"11106","2021-02-25","LT","yes","mobile","1069","111.812327719","111.847"
"11106","2021-01-01","LT","yes","mobile","1243","135.703127553","135.688"
"8499","2021-01-01","EE","yes","mobile","588","140.07","140.07"
"11054","2021-01-01","LT","yes","desktop","840","139.352686245","139.345"
"11060","2021-01-01","LT","yes","mobile","414","10.687919396","10.668"
"8499","2021-01-01","EE","yes","tablet","306","39.78","39.78"
"11171","2021-01-19","LV","yes","desktop","531","60.236","60.268"
"11172","2021-01-19","LV","yes","desktop","427","40.36505","40.414"
"11173","2021-02-08","LV","yes","desktop","392","43.82334","43.868"
"11060","2021-02-07","LT","yes","mobile","392","65.52602099","65.501"
"11084","2021-02-07","LT","yes","mobile","575","96.523102113","96.527"
"11073","2021-01-19","LT","yes","desktop","283","34.709381418","34.717"
"11149","2021-02-07","LV","yes","tablet","21","1.86175","1.865"
"8535","2021-02-07","EE","yes","tablet","10","0.2882","0.286"
"11041","2021-02-01","LT","yes","desktop","3568","373.112426223","373.102"
"11060","2021-02-01","LT","yes","mobile","302","33.36256373","33.375"
"8511","2021-02-01","EE","yes","desktop","1166","98.1706","98.183"
"11063","2021-02-01","LT","yes","desktop","164","5.862920263","5.808"
"11143","2021-02-12","LV","yes","desktop","1865","301.66","301.66"
"8499","2021-02-12","EE","yes","tablet","71","12.3","12.3"
"11040","2021-02-12","LT","yes","desktop","3251","544.897077206","544.912"
"11041","2021-02-12","LT","yes","tablet","387","34.203025906","34.206"
"11117","2021-02-12","LT","yes","mobile","1733","264.358003259","264.477"
"8536","2021-02-12","EE","yes","desktop","1801","153.19865","153.75"
"11095","2021-02-12","LT","yes","desktop","75","6.189906594","6.184"
"11149","2021-02-12","LV","yes","mobile","65","10.9307","10.932"
"8499","2021-01-22","EE","yes","desktop","690","87.1805","87.181"
"11054","2021-01-22","LT","yes","tablet","79","7.944776342","7.95"
"11174","2021-01-23","LV","yes","desktop","2743","221.158575","222.003"
"11174","2021-01-21","LV","yes","tablet","334","39.083","39.116"
"11145","2021-03-16","LV","yes","desktop","555","36.46335","36.44"
"11172","2021-03-11","LV","yes","desktop","143","12.89893","12.923"
"11086","2021-03-12","LT","yes","desktop","255","48.737537969","48.779"
"11080","2021-03-11","LT","yes","desktop","127","20.499071166","20.497"
"11040","2021-03-11","LT","yes","tablet","635","132.387015182","132.39"
"11041","2021-02-15","LT","yes","mobile","1641","84.514588064","84.555"
"8536","2021-02-15","EE","yes","desktop","1760","49.5394515","49.436"
"11106","2021-03-26","LT","yes","mobile","1197","147.580645412","147.531"
"11063","2021-03-26","LT","yes","mobile","40","0","0"
"11047","2021-03-26","LT","yes","desktop","726","102.974465631","102.99"
"11080","2021-03-26","LT","yes","mobile","52","16.98897746","16.986"
"11096","2021-03-26","LT","yes","mobile","99","36.258834141","36.266"
"8517","2021-03-20","EE","yes","desktop","325","26.2702","26.254"
"11048","2021-02-14","LT","yes","desktop","24","0","0"
"11117","2021-02-28","LT","yes","tablet","368","26.347507111","26.347"
"11143","2021-02-28","LV","yes","mobile","793","348.512","348.512"
"11117","2021-03-20","LT","yes","desktop","2673","294.688860475","295.106"
"11106","2021-02-10","LT","yes","desktop","2109","281.104334561","281.125"
"11084","2021-02-10","LT","yes","mobile","365","52.609182363","52.614"
"11134","2021-02-10","LV","no","mobile","15","0","0"
"11142","2021-01-08","LV","no","desktop","232","0","0"
"8511","2021-03-07","EE","yes","tablet","6","0.42405","0.427"
"11154","2021-03-07","LV","yes","desktop","1259","149.9124","149.959"
"11079","2021-02-23","LT","yes","desktop","68","11.357808689","11.359"
"11040","2021-01-23","LT","yes","desktop","811","121.96","121.96"
"11051","2021-01-09","LT","yes","desktop","1820","170.185337944","170.173"
"11041","2021-01-09","LT","yes","mobile","1209","98.774434831","98.951"
