"provider_id","provider_name","type","last_access_time","merchant_type","status","status_label","is_paid","active_items","country","business_program"
"1","Thu89","--empty--","Wed, 31 Dec 1969 16:00:00 -0800","--empty--","--empty--","--empty--","--empty--","0","--empty--","--empty--"
"2","qR7er","xml","Tue, 22 Mar 2022 19:04:10 -0700","post-paid","active","active","1","1481","BG","none"
"3","NDRQM","xml","Tue, 22 Mar 2022 22:28:25 -0700","pre-paid","active","active","1","2453","BG","none"
"4","X1tIV","xml","Fri, 07 May 2021 03:50:47 -0700","pre-paid","active","active","0","200","BG","none"
"5","hFSn1","xml","Thu, 17 Mar 2022 09:35:51 -0700","post-paid","active","active","1","128078","BG","none"
"6","OXEaK","xml","Wed, 06 Jan 2021 03:14:49 -0800","pre-paid","active","active","0","200","BG","none"
"7","f0Nlp","xml","Mon, 06 Dec 2021 07:20:21 -0800","pre-paid","active","active","0","200","BG","none"
"8","LLq7d","xml","Mon, 07 Mar 2022 03:49:34 -0800","pre-paid","active","active","0","200","BG","none"
"9","ctKcI","xml","Sat, 11 Dec 2021 15:22:50 -0800","pre-paid","active","active","0","178","BG","none"
"10","JofQq","xml","Tue, 07 Jul 2020 08:45:57 -0700","pre-paid","check","waiting","1","0","BG","none"
"11","Of1kb","xml","Tue, 14 Jul 2020 08:41:41 -0700","pre-paid","check","waiting","0","0","BG","none"
"12","0KCEr","xml","Wed, 31 Dec 1969 16:00:00 -0800","pre-paid","deleted","deleted","0","0","BG","none"
"13","FIuAo","xml","Thu, 03 Jun 2021 00:38:41 -0700","pre-paid","active","active","0","200","BG","none"
"14","KpAK7","xml","Tue, 28 Jan 2020 05:31:03 -0800","pre-paid","active","active","0","200","BG","none"
"15","vYVTg","xml","Mon, 27 Jul 2020 13:28:13 -0700","pre-paid","check","waiting","0","0","BG","none"
"16","RBS2D","xml","Wed, 22 Jul 2020 10:18:30 -0700","pre-paid","check","waiting","0","0","BG","none"
"17","2tspC","xml","Mon, 27 Jul 2020 09:25:10 -0700","pre-paid","check","waiting","0","0","BG","none"
